"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222666078674980865","2020-01-29 23:41:23","Massachusetts, USA","The 3 Flavonoids liked to lower risk of Alzheimer’s, and the foods highest in those flavonoids:
https://t.co/k56HWjSHBs
1222666068314992642,2020-01-29 23:41:21,""Cape Town, South Africa","@noLongerAdem1 @YouTube They still need to decide!!?The meetings they have are a futile waste of time!! anyone who is awake knows the powers that be want us dead via their eugenics depopulation programme. They will make sure it becomes a global pandemic!",,,
"1222666023838670849","2020-01-29 23:41:10","Detroit, MI","They gone be the ones to spread the corona virus 🤢 https://t.co/mp4E3IMl4C","do you really trust your coworkers, do you? https://t.co/HwXZ1r3Pqd",,,
"1222666003945074688","2020-01-29 23:41:06","boston, ma","Watching Pandemic! @KitKat2nv",,,,
"1222666000954355713","2020-01-29 23:41:05","Malaysia","The fake news distribute on social media and messaging app is far more faster than the spread of the corona virus. 😷
1222665952829038592,2020-01-29 23:40:53,""London, England","@iabbyckmx the chinese mf with the corona virus is better than her",,,
"1222665900911923200","2020-01-29 23:40:41","Texas","How prescient our elites are.  In October of 2019 they conducted a ""mock table top exercise"" in NY where they modeled a ""fictional coronavirus pandemic"" that ""killed"" 65 million people.  Event 201.
https://t.co/GOrgqVwmCU",,,,
"1222665888572346369","2020-01-29 23:40:38","Manhattan, NY","Bro If I Get The Corona Virus This Week I’m Just Gonna Drink Some DayQuil FR",,,,
"1222665877415481344","2020-01-29 23:40:35","Palm Beach, FL","@ethan_meyers no but if my bf gets it he’ll have corona &amp"," lymes 🥵 AAHGHHHH",,,
"1222665864715087884","2020-01-29 23:40:32","Flint, MI","I think we can all agree January 2020 has been the worst January in at least 20 years. WWIII rumors, Australian fires, Kobe dying, corona virus. What start to 2020",,,,
"1222665858360672257","2020-01-29 23:40:31","Auburn, AL","@summer_hunt_ Can you give me some of that corona virus so I don’t have to go to work tomorrow???",,,,
"1222665830221172736","2020-01-29 23:40:24","Mexico","A Disturbing Number of People Think Coronavirus Is Related to Corona Beer
https://t.co/Sk6hOmlFFS",,,,
"1222665794968047618","2020-01-29 23:40:16","New York, NY","Probably gona get corona virus at the airport with the gash on my leg",,,,
"1222665787049041920","2020-01-29 23:40:14","Seattle, WA","Hoor-wala-injection syndrome has gone pandemic. https://t.co/G95WpDeD3J","United Arab what?????? 😂😂😂 https://t.co/NKP8t3CCnI",,,
"1222665721446006785","2020-01-29 23:39:58","Columbus, OH","If the coronavirus was related to Corona, then it would have to be waterborne.
1222665699543244800,2020-01-29 23:39:53,""Riverside, CA","I just wanna take you out before the corona virus does 😪😭",,,
"1222665690395471872","2020-01-29 23:39:51","Los Angeles","I am not sure @corona should be trying to capitalize on the #coronavirus trend.",,,,
"1222665677871337472","2020-01-29 23:39:48","United States","@CrosPorcus Lesson be learned
Don't eat bat soup
Especially if it was served by Corona Chan",,,,
"1222665596669587456","2020-01-29 23:39:28","Spokane, WA","Oh dear...
A Disturbing Number of People Think Coronavirus Is Related to Corona Beer https://t.co/MLA29yFS7H via @vice",,,,
"1222665576805470208","2020-01-29 23:39:24","Canada","@ricci_davide77 Reports from a Chinese nurse in the quarantine zone say 90000 infected and hundreds dead. Of course they are lying if they give the real number the WHO would/should declare global pandemic which would be huge financial loss to China. They have no reason to tell the truth",,,,
